Date,Adj Close,Close,High,Low,Open,Volume
27-04-21,2826.949951,2826.949951,2865,2810,2815,394477
28-04-21,2936.800049,2936.800049,2953.699951,2850.949951,2865,542978
29-04-21,2906.350098,2906.350098,2988,2880,2960,296752
30-04-21,2852.899902,2852.899902,2931.899902,2818.899902,2889.800049,322948
03-05-21,2898.649902,2898.649902,2911,2822.899902,2845,232238
04-05-21,2858.399902,2858.399902,2934.75,2845,2908,239282
05-05-21,2874.399902,2874.399902,2889.600098,2855,2878.699951,136956
06-05-21,2878.149902,2878.149902,2895,2850.5,2874.949951,158581
07-05-21,2895.5,2895.5,2955,2855.5,2880,365600
10-05-21,2852.449951,2852.449951,2960,2840,2925,771218
11-05-21,2850.550049,2850.550049,2884.600098,2825,2850,323511
12-05-21,2856.149902,2856.149902,2869.949951,2827.5,2850.550049,246319
14-05-21,2844.649902,2844.649902,2874,2830,2874,227259
17-05-21,2898.699951,2898.699951,2907.899902,2840.300049,2864,449529
18-05-21,3056.300049,3056.300049,3080,2910.75,2920,1022329
19-05-21,3027.899902,3027.899902,3090.949951,3010.100098,3069,683428
20-05-21,3026.600098,3026.600098,3055,3001,3055,352477
21-05-21,3034.149902,3034.149902,3070,3013,3041,375397
24-05-21,3040.449951,3040.449951,3064.699951,3020,3046,236828
25-05-21,3103.850098,3103.850098,3123,3053,3055,455042
26-05-21,3096.199951,3096.199951,3135,3070.449951,3125,284202
27-05-21,3025.5,3025.5,3104.949951,3008.100098,3100,433634
28-05-21,3022.100098,3022.100098,3105.5,3000,3052,345903
31-05-21,3069.399902,3069.399902,3085,3025,3042.5,318681
01-06-21,3044.800049,3044.800049,3087.949951,3030.800049,3071.050049,180498
02-06-21,3066.199951,3066.199951,3093.300049,3050,3050,236968
03-06-21,3192.699951,3192.699951,3200,3075.300049,3080,820805
04-06-21,3197,3197,3257,3170,3222,393038
07-06-21,3188.949951,3188.949951,3221.600098,3175.050049,3219.949951,196757
08-06-21,3179.800049,3179.800049,3210,3165,3200,171578
09-06-21,3194.699951,3194.699951,3254.399902,3160,3198,397348
10-06-21,3194.5,3194.5,3240,3181.050049,3206.850098,236409
11-06-21,3175.550049,3175.550049,3224.100098,3161,3215,158635
14-06-21,3274.100098,3274.100098,3294,3108.050049,3180,735981
15-06-21,3359.5,3359.5,3394.449951,3294,3300,884874
16-06-21,3310.399902,3310.399902,3396.899902,3275.649902,3359.5,441188
17-06-21,3285.550049,3285.550049,3306.600098,3260,3283.949951,290181
18-06-21,3317.699951,3317.699951,3372.350098,3252.199951,3317.5,765935
21-06-21,3311,3311,3319.699951,3274,3319.699951,164977
22-06-21,3373.800049,3373.800049,3408.449951,3320,3328,518266
23-06-21,3310.899902,3310.899902,3400,3300.949951,3400,244160
24-06-21,3323.800049,3323.800049,3352,3304,3345,157652
25-06-21,3315.350098,3315.350098,3347.850098,3307,3325,107596
28-06-21,3332.199951,3332.199951,3350,3277,3315,184379
29-06-21,3270.850098,3270.850098,3349.699951,3251,3338,310346
30-06-21,3344.100098,3344.100098,3358,3278,3278,502700
01-07-21,3315.649902,3315.649902,3373.699951,3305,3373.699951,155967
02-07-21,3314.300049,3314.300049,3342.75,3305,3340,262656
05-07-21,3360.649902,3360.649902,3395,3341.300049,3375,379870
06-07-21,3364.600098,3364.600098,3425,3332,3366,336459
07-07-21,3396.399902,3396.399902,3402,3326,3366,276021
08-07-21,3389.199951,3389.199951,3420,3368,3400,184898
09-07-21,3377.600098,3377.600098,3398,3361.100098,3390,146424
12-07-21,3349.050049,3349.050049,3378,3310.199951,3369.600098,639197
13-07-21,3355,3355,3370,3307.550049,3330,264068
14-07-21,3330.050049,3330.050049,3350.100098,3319,3349.949951,253367
15-07-21,3328.5,3328.5,3363,3300,3319,188080
16-07-21,3349.199951,3349.199951,3365,3327,3332.949951,316985
19-07-21,3331.600098,3331.600098,3348.899902,3315.149902,3320,143633
20-07-21,3397.300049,3397.300049,3419,3334,3347,553490
22-07-21,3397.350098,3397.350098,3449,3383,3434,216224
23-07-21,3413.199951,3413.199951,3425,3393.050049,3417.850098,155192
26-07-21,3483.550049,3483.550049,3499.5,3398.300049,3410,319728
27-07-21,3499.399902,3499.399902,3533.399902,3465.25,3499,286345
28-07-21,3488.5,3488.5,3518.199951,3441.100098,3499,172832
29-07-21,3502.600098,3502.600098,3524,3492.25,3500,131747
30-07-21,3500.800049,3500.800049,3524,3475.25,3524,270545
02-08-21,3502.399902,3502.399902,3524.800049,3486,3524.800049,147600
03-08-21,3566.25,3566.25,3579,3504,3508,224336
04-08-21,3593.050049,3593.050049,3609,3535.850098,3575,197380
05-08-21,3564.149902,3564.149902,3624.449951,3551,3600,117492
06-08-21,3529.199951,3529.199951,3593,3520,3569,128769
09-08-21,3523,3523,3577.649902,3501,3549,254763
10-08-21,3551.649902,3551.649902,3586.550049,3515,3541,162584
11-08-21,3563.949951,3563.949951,3575,3465,3551.649902,167988
12-08-21,3561,3561,3589,3546.600098,3573.800049,114737
13-08-21,3594.550049,3594.550049,3634.449951,3518,3584,292706
16-08-21,3633.5,3633.5,3659,3566.300049,3594,180469
17-08-21,3634.350098,3634.350098,3655,3604,3655,201361
18-08-21,3650.600098,3650.600098,3668.25,3626.149902,3640,147888
20-08-21,3643.100098,3643.100098,3707.149902,3618,3650,232756
23-08-21,3673.75,3673.75,3700,3644,3663,163347
24-08-21,3708.550049,3708.550049,3770,3680,3700,343937
25-08-21,3789.699951,3789.699951,3847.449951,3716.149902,3749.949951,332203
26-08-21,3847.800049,3847.800049,3889.800049,3800.050049,3814,532719
27-08-21,3833.050049,3833.050049,3898,3815,3887,349704
30-08-21,3888.350098,3888.350098,3899,3835.300049,3862,267923
31-08-21,3954.800049,3954.800049,3979.75,3871.149902,3899,378858
